"Model number","sSpec number","Cores","Frequency","Turbo","L2 cache","L3 cache","TDP","Socket","I/O bus","Memory","Release date","Part number(s)","Release price (USD)"
"Six Core","","","","","","","","","","","","",""
"Xeon E7-8893 v2","SR1GZ (D1)","6","3.4 GHz","1/1/1/1/2/3","6 × 256 KiB","37.5 MiB","155 W","LGA 2011-1","3 × 8.0 GT/s QPI","4 × DDR3-1600","Feb 18, 2014","CM8063601454907","$6841"
"Ten Core","","","","","","","","","","","","",""
"Xeon E7-8891 v2","SR1GW (D1)","10","3.2 GHz","3/3/3/3/3/3/3/ 3/4/5","10 × 256 KiB","37.5 MiB","155 W","LGA 2011-1","3 × 8.0 GT/s QPI","4 × DDR3-1600","Feb 18, 2014","CM8063601377422","$6841"
"Twelve Core","","","","","","","","","","","","",""
"Xeon E7-8850 v2","SR1GK (D1)","12","2.3 GHz","3/3/3/3/3/3/3/ 3/3/3/4/5","12 × 256 KiB","24 MiB","105 W","LGA 2011-1","3 × 7.2 GT/s QPI","4 × DDR3-1600","Feb 18, 2014","CM8063601272306","$3059"
"Xeon E7-8857 v2","SR1GT (D1)","12","3 GHz","4/4/4/4/4/4/4/ 4/4/4/5/6","12 × 256 KiB","30 MiB","130 W","LGA 2011-1","3 × 8.0 GT/s QPI","4 × DDR3-1600","Feb 18, 2014","CM8063601275912","$3838"
"Fifteen Core","","","","","","","","","","","","",""
"Xeon E7-8870 v2","SR1GJ (D1)","15","2.3 GHz","4/4/4/4/4/4/4/ 4/4/4/4/4/4/5/6","15 × 256 KiB","30 MiB","130 W","LGA 2011-1","3 × 8.0 GT/s QPI","4 × DDR3-1600","Feb 18, 2014","CM8063601272006","$4616"
"Xeon E7-8880 v2","SR1GH (D1)","15","2.5 GHz","4/4/4/4/4/4/4/ 4/4/4/4/4/4/5/6","15 × 256 KiB","37.5 MiB","130 W","LGA 2011-1","3 × 8.0 GT/s QPI","4 × DDR3-1600","Feb 18, 2014","CM8063601271810","$5729"
"Xeon E7-8880L v2","SR1GS (D1)","15","2.2 GHz","4/4/4/4/4/4/4/ 4/4/4/4/4/4/5/6","15 × 256 KiB","37.5 MiB","105 W","LGA 2011-1","3 × 8.0 GT/s QPI","4 × DDR3-1600","Feb 18, 2014","CM8063601275812","$5729"
"Xeon E7-8890 v2","SR1ET (D1)","15","2.8 GHz","4/4/4/4/4/4/4/ 4/4/4/4/4/4/5/6","15 × 256 KiB","37.5 MiB","155 W","LGA 2011-1","3 × 8.0 GT/s QPI","4 × DDR3-1600","Feb 18, 2014","CM8063601213513","$6841"
"Xeon E7-8895 v2","SR1NR (D1)","15","2.8 GHz","4/4/4/4/4/6/6/ 6/6/7/7/7/7/8/8","15 × 256 KiB","37.5 MiB","155 W","LGA 2011-1","3 × 8.0 GT/s QPI","4 × DDR3-1600","Feb 18, 2014","CM8063601589723","OEM for Oracle"
